Words	Monetary	Property – Real estate	Property – Slavery	Property – Other	Property – Terminology	Family	Women	Inheritance	Waqf	Gender issues and sexuality	Disputing and litigation	Crime	Punishment	Taxation, prebendal rights, and revenue extraction	Land, not property	Contractual – Transactions, employment, and gifts	Contractual – Debts and loans	Ritual and worship	Religious and doctrinal	Religious, administrative functionaries and their actions	Communal	Non-Muslims	Representations, suretyship, and guardianship	Agriculture and cultivation	Food and beverage	Animals	Intoxicants	Illness, death, and injury	Military groups and matters	Control
ilm																			x											x
iltizam														x																x
imam																		x		x										x
imame																		x		x										x
imamet																		x		x										x
imameyn																			x											x
iman																			x											x
imza																														x
inad																														x
inas							x																							x
inek				x																						x				x
inkar											x																			x
insan																														x
intifa																														x
intikal																														x
irade																														x
iradet																														x
irsal																														x
irsl																														x
işaret																														x
isba											x																			x
isbat											x																			x
işhad											x																			x
işidilür												x									x									x
işit																														x
ıslah																														x
islam																			x											x
işledik																														x
işlemek																														x
işleyüp																														x
ısmarlayub																														x
isnad											x																			x
ısrar																														x
iste																														x
ister																														x
isteyicek																														x
isteyüb																														x
iştibah																														x
istibdal																x														x
istidane																	x													x
istifsar																														x
istiğfar																			x											x
istiğlal																x	x													x
istihdam																														x
istihfaf																														x
istihkak																														x
istima											x																			x
istimal																x														x
iştira																x														x
iştirak																														x
itak			x																											x
itibar																														x
itika																			x											x
itikad																			x											x
itimad																														x
itiraf											x																			x
ıtk			x																											x
ıtlak						x																								x
itmam																														x
ittifak																														x
ittihaz																														x
ivaz																x														x
izam																														x
izhar																														x
izn																														x
kabe																		x												x
kabil																														x
kabü																														x
kabul																														x
kabz																x														x
kaçırub																														x
kaçub																														x
kade																														x
kadi											x									x										x
kadı											x									x										x
kadilık											x									x										x
kadim																														x
kadin							x																							x
kafi																														x
kafir																			x			x								x
kaftan				x																										x
kahve																									x		x			x
kaim																														x
kala																														x
kaldık																														x
kalil																														x
kalkub																														x
kalmayub																														x
kalmaz																														x
kan												x																x		x
kapu		x																												x
karar																														x
karib																														x
karındaş						x																								x
karye																					x									x
karz																	x													x
kasaba																					x									x
kasame												x	x																	x
kasd																														x
katı																														x
katil												x																		x
katip																				x										x
katır				x																						x				x
katl												x																		x
katlden												x																		x
katle												x																		x
kavil																														x
kavl																														x
kavlin																														x
kayd																														x
kaza											x																			x
kazib																														x
kaziyye											x																			x
kazub																														x
kefalet																							x							x
kefere																						x								x
keffare																		x												x
keffaret																		x												x
kefil																							x							x
kelam																														x
kelime																														x
kemal																														x
kemali																														x
kenise																						x								x
kerahet																														x
kere																														x
kerime						x	x																							x
kesb																x														x
kesir																														x
kesmek																														x
kesp																x														x
kest																														x
kesüb																														x
ketebehü																														x
keyfi																														x
keyfiyet																														x
keyl																								x						x
kibar																														x
kıbe																		x												x
kıble																		x												x
kifayet																														x
kıl																														x
kılan																														x
kılıç																														x
kılınan																														x
kılınmak																														x
kilise																						x								x
kılmayub																														x
kın																														x
kira																x														x
kıraat																														x
kıraet																														x
kiram																														x
kiş																														x
kısas													x																	x
kişi																														x
kısm								x																						x
kısmet								x																						x
kitab																														x
kitabet																				x										x
kitap																														x
kıya																														x
kıyas																														x
kıymet																x														x
kız							x																							x
kizb																														x
kızılbaş																			x											x
kizp																														x
kök																														x
koy																														x
köy																					x									x
koyun				x																						x				x
kudret																														x
küfr																			x			x								x
küfri																			x			x								x
küfür																			x			x								x
kul			x																											x
kullan																														x
küllen																														x
küp				x																										x
kura																					x									x
kuran																		x	x											x
kurban																		x								x				x
kuşak				x																										x
kütüp																														x
kuyu																					x									x
kuza											x																			x
lağv																														x
lahik																														x
lanet																			x											x
lehv																														x
liba				x																										x
libas				x																										x
lieb						x																								x
lisan																														x
liva										x		x																		x
lüzümun																														x
mabeyn																														x
madde																														x
madem																														x
mahalle																					x									x
mahalli																					x									x
mahreç																														x
mahsul																								x						x
mahsül																								x						x
mahsüs																														x
mahz																														x
mahzar																														x
maiyyet																														x
makbül																														x
maklüan																														x
maktul												x																x		x
maktül												x																x		x
mal				x																										x
malik					x																									x
mamür																														x
mani																														x
mansıp																				x										x
maraz																												x		x
marif																														x
marifet																														x
marifets																														x
mariz																												x		x
marüf																														x
masarıf																x														x
maslahat																														x
masraf																x														x
mazınne																														x
mazmünı																														x
mazmünu																														x
mazmünun																														x
mazul																				x										x
mazür																														x
meblağ																														x
mebn																														x
meclis																														x
mecrüh												x																x		x
mecrühan												x																x		x
mecür																x														x
med																														x
medar																														x
medhül																														x
medid																														x
medine																														x
medrese																														x
medyün																	x													x
meharip																														x
mehl																														x
mehr						x																								x
mekan																														x
mekrüh																			x											x
mektüb																														x
memalik																														x
memleket																														x
memlük					x																									x
memlüke					x																									x
memnü																			x											x
memnüdur																			x											x
memür																														x
men																														x
menafi																														x
meni																														x
menküha						x																								x
menküham						x																								x
menkül																														x
menzil		x																												x
mera															x						x									x
mercüdur																														x
meremmet									x																					x
merhüm																												x		x
mertebe																														x
mesafe																														x
mesai																														x
mesalih																														x
meşayih																														x
mescid																		x												x
mesela																														x
meşgül																														x
mesh																		x												x
meşhür																														x
mesmü											x																			x
mesmüa											x																			x
meşru																														x
meşrü																														x
meşrüdur																														x
meşrüh																														x
mest																														x
mestür																														x
meta				x																										x
metrüka																														x
metrükat																														x
mevat																														x
mevcüd																														x
mevküf									x																					x
mevla			x																											x
mevt																												x		x
meyv																								x	x					x
meyve																								x	x					x
meyy																												x		x
meyyi																												x		x
mezari																												x		x
mezhep																			x											x
mezra															x						x									x
mezraa															x						x									x
mezü																														x
mihrap																		x												x
minare																		x												x
minbad																														x
miras								x																						x
mirf														x																x
miri														x																x
mirt														x																x
misafir																														x
mısır																								x						x
misl																														x
muaccel																														x
muallim																														x
muamele																x														x
muaşeret																														x
muattal																														x
muavenet																														x
mübah																			x											x
mübaşeret																														x
mübtela																												x		x
mücehhilen																														x
mücerred																														x
mudarebe																x														x
mudarep																x														x
müdde											x																			x
müddea											x																			x
müdebber			x																											x
müderr																				x										x
müderris																				x										x
müeccel																														x
müezz																		x		x										x
müezzin																		x		x										x
müfid																														x
müfli																x	x													x
müflis																x	x													x
müfti											x																			x
muhakkak																														x
muhal																														x
muhaldir																														x
muhalefet																														x
muhalif																														x
muhallefat								x																						x
muhasebe																x														x
muhit																														x
muhkem																														x
muhtar																														x
mukabe																														x
mukabele																														x
mukaddem																														x
mukari																										x				x
mukarrer																														x
mukata														x																x
mukataa														x																x
mükateb			x																											x
mukayyed																														x
mukteza																														x
mülk					x																									x
münakid																x														x
münasib																														x
munk																														x
münkir											x																			x
müracaat																														x
murafa											x																			x
murdar																			x											x
mürteh																														x
mürtezika																				x										x
murür																														x
müsaade																														x
müsab																														x
musahabet																														x
müşahe																														x
musalla																		x										x		x
musalli																		x												x
musamah																														x
müseccel																														x
mushaf																			x											x
musır																														x
musırr																														x
musırran																														x
müslim																														x
müslime																														x
müslüman																					x									x
müşrif																														x
müstahak																														x
müstakil																														x
müstecir																x														x
müşter																x														x
müşterek																														x
müşteri																x														x
muta																														x
mutad																														x
mutak			x																											x
mutaka			x																											x
mutallak						x																								x
mutallaka						x	x																							x
mutasarrıf																														x
mutat																														x
mütedeyy																			x											x
mutekid																			x											x
mütemekk																														x
muterif											x																			x
mütevatir											x																			x
müteveffa																												x		x
mütevel									x																					x
muttasıl																														x
muvafık																														x
muvaza																														x
muvazzaf																				x										x
müvekkil																							x							x
müyesser																														x
muztar																														x
nabaliğ																														x
nabedid																														x
nafaka						x																								x
nafiz																			x											x
naib											x									x										x
naip											x									x										x
nakil																														x
nakl																														x
nakli																														x
namahrem						x				x																				x
namaz																		x												x
namazina																		x												x
nameşrüdur																														x
namzed						x																								x
napak																			x											x
narh																x				x										x
nas																					x									x
nasb																				x										x
nasrani																						x								x
nass																			x											x
nazar																														x
nazır																				x										x
nef																														x
nefy													x																	x
nehy																														x
neseb						x																								x
nesl						x																								x
nev																														x
nezr																		x												x
nida																														x
nihayet																														x
nikah						x																								x
nikahlandık						x																								x
nikahlandır						x																								x
nisa							x																							x
nisab																		x												x
nisap																		x												x
nisbet																														x
niyabet																				x										x
niye																														x
niyet																														x
niyye																														x
niyyet																														x
niza											x																			x
nok																														x
noksan																														x
nüküd	x																													x
nüküdu	x																													x
nur																														x
ocak																														x
oğl																														x
öğl																														x
oğlan																														x
oğlancık																														x
oğlu						x																								x
oğul																														x
okuduk																														x
okur																														x
öküz				x																						x				x
öldük																												x		x
öldür												x																x		x
olicak																														x
olıicak																														x
ölü																												x		x
oluncak																														x
olunmayıcak																														x
örf																														x
örfiyye																														x
orman															x															x
orta																														x
öşr														x																x
öşriyye														x																x
oturmak																														x
oturub																														x
öyle																														x
özr																														x
özri																														x
padişah																				x										x
parmak																														x
pencer																														x
pencere																														x
peygamber																			x											x
pınar																					x									x
pir																														x
piyade																													x	x
rağbet																														x
rakabe					x				x																					x
raks																														x
razi																														x
rea														x							x									x
reaya														x							x									x
reca																														x
red																														x
ref																				x										x
reh																	x													x
rehn																	x													x
reis																														x
reka																		x												x
rekat																		x												x
res														x																x
resm														x																x
resülullah																			x											x
ret																														x
rey																														x
riayet																														x
riba												x				x														x
rical																														x
rivayet																														x
rıza																														x
rızk																														x
rüç																														x
rüşvet												x																		x
rüzgar																														x
saat																														x
sabah																														x
sabık																														x
sabıka																														x
sabit																														x
sadak																		x												x
sadat																														x
sadi																														x
şafi																			x											x
sağir																														x
sağire																														x
şahi											x																			x
şahid											x																			x
sahiha																														x
sahip																														x
şahit											x																			x
şahs																														x
saim																														x
sakine																														x
sakıt																														x
sal																														x
sala																		x												x
salah																														x
salat																		x												x
salavat																		x												x
salih																														x
şan																														x
sanat																														x
sancak																				x									x	x
sanduk																														x
saniye																														x
sanub																														x
sarf																x														x
şari																														x
sarih																														x
sarık																														x
şart																														x
satmak																x														x
satt																														x
savmi																		x												x
savt																														x
say																														x
sebb																														x
sebeb																														x
sebp																														x
seby																														x
seç																														x
secde																		x												x
sedd																														x
şedid																														x
şehadet											x																			x
sehm																														x
şehr																														x
sehv																														x
sekr																														x
selam																														x
sema																		x												x
semen																x														x
şerai																														x
şerait																														x
şerfa																														x
şerh																														x
şeri											x																			x
şeria											x																			x
şerife																														x
şerik																x														x
şerta																														x
şetm												x																		x
sevab																		x	x											x
sevap																		x	x											x
şeyh																														x
şeytan																			x											x
sicil											x																			x
sığar																														x
sığır				x																						x				x
sıhhat																												x		x
sıhhati																												x		x
sıla																														x
sipahi																				x									x	x
şira																x														x
sirayet																														x
sirka												x																		x
şirket																x														x
sonraki																														x
şöyl																														x
söyledik																														x
şübh																														x
şübhe																														x
südüs																														x
şuf																x														x
şufa																x														x
süfi																		x	x											x
sükna		x																												x
sükut																														x
sulh											x																			x
sulhı											x																			x
sultan																				x										x
sünnet																			x											x
sür																														x
şür																									x					x
şurbi																									x					x
süre																														x
suret																														x
süt																									x					x
suy																					x				x					x
taaddi												x																		x
taalluk																														x
taam																									x					x
taarruz												x																		x
tabaka																														x
tabi																														x
tafsi																														x
tafsil																														x
tağyir																														x
tah																														x
tahfif																														x
tahir																			x											x
tahkik																														x
tahkir																														x
tahli																														x
tahrir														x																x
tahsil																														x
tahvif																														x
taif																														x
takrir																														x
taksim																														x
taksir																														x
talak						x																								x
taleb																														x
talep																														x
talik																														x
talim																														x
tamir																														x
tan																														x
tanrı																			x											x
tapu														x						x										x
tarla															x															x
taş																														x
tasadduk																														x
tasarruf																														x
tasdik																														x
tasli																														x
taşr																														x
taşra																														x
tasrih																														x
tasvir																														x
tatil																														x
tavan		x																												x
tayi																														x
tayin																														x
tazim																														x
tazir													x																	x
tazmin													x			x														x
teaddi												x																		x
tebdil																														x
teberru																														x
tect																														x
tecv																														x
tedarik																														x
tedbir																														x
tefrik																														x
tefsir																														x
teftiş																														x
tefv																														x
teğanni																														x
tehir																														x
tekbir																		x												x
tekellüm																														x
tekfir												x							x											x
tekzib																														x
telaffuz																														x
telakki																														x
temessük																x	x													x
temlik					x																									x
tenbih													x																	x
teravih																		x												x
terazi																														x
tercih																														x
terek								x																						x
tereke								x																						x
terk																														x
tesamü																														x
tescil																														x
tesmiye																		x												x
tevakkuf																														x
tevbe																		x												x
tevcih																														x
tevil																														x
tevkil																							x							x
tevliyet									x																					x
tevz																														x
tezevvüc						x																								x
tezkir																														x
tezvic						x																								x
tezvir												x																		x
ticaret																x														x
tilave																		x												x
tilavet																		x												x
tımar														x																x
tin																														x
tisa																														x
toh																								x						x
tohum																								x						x
toprak															x															x
tut																														x
tutar																														x
tutulub																														x
ücre																x														x
ücret																x														x
udül											x																			x
uhra																														x
ulema																				x										x
ümmi																														x
umürı																														x
urub												x																		x
uslüb																														x
üst																														x
uteka			x																											x
vacib																			x											x
vade																x	x													x
vahi																														x
vaiz																				x										x
vakf									x																					x
vakfiye									x																					x
vakfiyye									x																					x
vakfiyyet									x																					x
vakıf									x																					x
vakıfname									x																					x
vakt																														x
valide						x	x																							x
varan																														x
varduk																														x
vari								x																						x
varis								x																						x
varise								x																						x
vasf																														x
vasi																							x							x
vasiyet								x																						x
vatan																														x
vazif																														x
vazife																														x
vefa																												x		x
vefat								x																				x		x
vekalet																							x							x
vekil																							x							x
vel																														x
vela																							x							x
veled						x																								x
velet						x																								x
verase								x																						x
veraset								x																						x
verdüğin																														x
verese								x																						x
verildik																														x
verilme																														x
vezaif																														x
vezir																				x										x
vezn																														x
vilaye																				x										x
vilayet																				x										x
vücühı																														x
yaban																														x
yağ																									x					x
yahüdi																						x								x
yak																														x
yalan																														x
yalınuz																														x
yanub																														x
yar																														x
yaramaz																														x
yaveç																														x
yaz																														x
yazdık																														x
yazıl																														x
yazmak																														x
yazup																														x
yed																														x
yek																														x
yem																														x
yemek																									x					x
yemin																														x
yen																														x
yeri																														x
yetim						x																								x
yetime																														x
yevm																														x
yeyüb																									x					x
yıkdırmak																														x
yıkub																														x
yıllık																														x
yoldaş																														x
yük																														x
yükledüb																														x
yumak																														x
yunt																														x
yüzük				x																										x
zabt																														x
zaid																														x
zail																														x
zait																														x
zam																														x
zamane																														x
zarar																														x
zarüret																														x
zaviye																		x												x
zayi																														x
zecr																														x
zeka																		x												x
zekat																		x												x
zevaid																														x
zevait																														x
zevc						x																								x
zevç						x																								x
zevce						x	x																							x
zikr																														x
zikrullah																		x												x
zimm																						x								x
zimmet																														x
zimmi																						x								x
zımmi																						x								x
zimmiye																						x								x
zina										x		x																		x
zindan													x																	x
zındık												x							x											x
ziraat																								x						x
ziyan																														x
zuhr																														x
zuhri																														x
zuhür																														x
zulm												x																		x
lian						x																								x
cihad																													x	x
su																					x				x					x
ev		x																												x
vat										x																				x
livat										x																				x
hind							x																							x
zeyneb							x																							x
ehliörf		x												x															x	x
muameleişer																x														x
tarikiamm																					x									x
şirbikadim																					x									x
hakkışirb																					x									x
arzıhavzımemleket		x																												x
arzımemlüke		x																												x
arzıharac		x																												x
arzıöşr		x																												x
taksimigurema																	x													x
ahkamışer																			x											x
meclisişer											x																			x
aleticariha												x																		x
aletiharb												x																		x
tekalifiörf														x																x
rüsümiörf														x																x
ammeinas																					x									x
sahiniarz														x																x
arzimiri															x															x
